author,comment,likes,published_at,is_relevant
@Rizishaq8,sorry but its not biryani its polao if you want to taste real biryani come to Karachi my city 😉,0,2023-12-07T22:24:12Z,True
@KashifIndubai,"I like Pakistani samosa 
This type of samosa couldn’t find in the world 😢",0,2023-12-07T22:09:56Z,True
@NasirKhan-ov9ys,Please come Karachi and trying Karachi foods.,0,2023-12-07T21:20:35Z,True
@tombhaixt,"5:42 / 7:54 Don't worry about to eat PAN. The PAN which you eat its sweat PAN which doesn't contain any harmful material or side effect. There is a lot of varieties of PANS. Some contain addictive material, and some is just for taste or refreshment for your mouth. whenever you want to eat PAN just go to the PAN shop and ask her ""give me Meetha PAN"" and you don't need to be worried. stay blessed my sister!❤😊",3,2023-12-07T15:59:20Z,True
@violagamer7413,Come to karachi and get the real taste of food in burns road food street.,0,2023-12-07T11:31:43Z,True
@farooqnadeem8490,"Well come to Lahore Pakistan 🇵🇰 
🇵🇰❣️🇵🇰🇵🇸🇵🇸🇵🇸🇵🇰",18,2023-12-07T08:59:28Z,True
@Islameology,Please you come to Karachi Street food ❤😊,0,2023-12-07T07:17:47Z,True
@venthastudio,I have been living in Lahore for last 5 years but never visited these pleaces😂😂,0,2023-12-06T13:00:04Z,True
@Warraich132,Avoid drinking drinks with ice and tap water. We don't have filtered water. Stay safe stay blessed. Stay selfish in giving selfie's 🤳 to stangers as it creates mob.,0,2023-12-06T10:53:26Z,True
@kedarshinde5756,Pakistanis are copying everything from India 😂😂😂 they have no food culture anything because they were indians who migrated and killed minorities,0,2023-12-05T18:24:15Z,True
@MuhammadAfque,Come in Karachi and tariy Karachi biryni h street foods,0,2023-12-05T05:11:04Z,True
@felicytatomaszewska,Paan is not part of the traditional Lahori food. It is more popular in Karachi. You should try Lahori faloudeh,0,2023-12-05T03:59:43Z,True
@sarfaraz1025,Samosa.. I would like😊,0,2023-12-04T20:08:20Z,True
@majzubmajzub2650,yummy food Masha Allah,1,2023-12-03T15:55:58Z,True
@tahavlogs11111,I like the way you describe the taste of the foods you exactly tell how they taste the taste comes to our toungs 😊😊😊,1,2023-12-03T14:56:43Z,True
@Id_give_a_sht,You need to try Karachi and also Peshawar food punjab sides isn't good in food,0,2023-12-03T12:35:41Z,True
@BilalRajput18,"Habibi come to Peshawar, food is another level must visit Peshawar",0,2023-12-03T07:05:32Z,True
@BilalRajput18,"Welcome to Pakistan,most welcome 🤗 visit Kashmir, Kashmir divided in thee parts India, Pakistan nd China am from Pakistan occupied Kashmir,plz visit if you have time, it's heaven on earth, Kel, Rawalakot, Bagh,neelum velley, velley,, keran must visit these places",0,2023-12-03T07:04:17Z,True
@dr.saifuddin7096,I would love to have that Samosa and then Biryani 😊,3,2023-12-02T17:16:19Z,True
@MullBatoora-kf6cj,Lassi is my favourite.,0,2023-12-02T12:42:23Z,True
@balaggan_0.4,"You would've tried butt karahi , jheela , goga and ice cream from chaman in Lahore bcz they are also delicious 🤤 , nevermind try them next time ✨🤝🏻",1,2023-12-02T09:20:07Z,True
@umairkingkhan9770,Real biryani belongs Karachi you should try in karachi.,1,2023-12-01T13:23:26Z,True
@Roberto_Spina_Photographer,So wonderful ! The food it's the first form of hospitality . I felt the same way we use in the south of Italy . My grandmother and also the i neighbourhood offer food to create a connection to make you feel like one big family and not a stranger :),10,2023-11-28T04:27:37Z,True
@sardarparacha,Why doesn't this video got 19 million views.. it deserves so moreeeee,3,2023-11-27T19:58:21Z,True
@ahmadmaadshimshali5383,Soo which food you liked the most from Lahore ?,0,2023-11-25T18:27:33Z,True
@brokenhearts705,I know our food is too spice's for you but it's really tasty,0,2023-11-25T16:04:09Z,True
@haidzification,Taste of home😍 Such a well shot episode that my appetite just went through the roof! Shukriya,2,2023-11-24T09:29:30Z,True
@Hamzasyedfaiz,"Pakistani in Germany , really missing food 😿",0,2023-11-24T06:28:20Z,True
@saadeezmalik,"I think you should not have tried PAN. And you gave an honest review of waqas biryani because it is not like biryani it's like pulao😅, otherwise, as always your content is valuable 😍 you are exceptionally exploring. So thank you 🙌 for coming to Pakistan 🇵🇰",5,2023-11-24T01:47:04Z,True
@MuhammadIsmail-om8zc,Food is Life in lahore. My most favorite city after Islamabad ❤😂,1,2023-11-23T20:54:40Z,True
@user-vp9lg7hl5g,"Welcome to Pakistan 🇵🇰 . The land of hospitality ❤. May u like and enjoy our traditional foods 🙂
And the most special thing about Lahore "" jenne lahore nai wekhya o jamya hi nai "" 😅",1,2023-11-23T18:31:55Z,True
@fayyazkarim8822,Absolutely AMAZINGGG 🔥🔥 No one could explain Lahore in this wayy!!!! Waiting for the next one now!,4,2023-11-23T17:13:02Z,True
@abdulmoiedkhan6955,Another epic episode wow😂.. makes me so hungry… just let you yeah biryani is good in Karachi not in Lahore 😂,1,2023-11-23T16:05:32Z,True
@furqannaeem4759,You perfectly explored Lahore 👍,3,2023-11-23T15:48:04Z,True
@sofeeak8604,"The food looks absolutely incredible! 
You’ve captured such vivid images and the way you are telling us your story Iryna … I’m captivated! 
Really fun to watch this episode. Love what you do ❤ - Soph",44,2023-11-23T15:23:08Z,True
@joe_194,I love lassi 😋,93,2023-11-23T14:05:27Z,True
@sholafreeman3932,Your video makes me so hungry!! I am now craving a refreshing cold lassi and a plate of biriyani 😋,4,2023-11-23T13:45:36Z,True
@TheCageSageMMA,Street food is great almost everywhere in Pakistan but Lahore is truly exceptional. Mesmerizing content as always 👏,16,2023-11-23T13:00:47Z,True
@sarmadjavedlive,"Super engaging content. Fantastic production, wonderful cinematography. Lahore Food is so beautiful, so elegant, just looking like a wow.",0,2023-11-23T12:56:55Z,True
@zoryanasheremeta4986,Realy BRAVO! You did great work. I want to try all of those food),3,2023-11-23T12:50:08Z,True
@TV4-FUN,That's great to see.... how many days it took for you to taste foods of lahore ?,1,2023-11-23T12:18:38Z,True
@MuhammadHashim-kb9re,The pronunciation of the dishes name is to the point. how did you feel about the hospitiity of Lahore?,2,2023-11-23T12:14:38Z,True
@zaimhamza76,Itne gandey toba Lal chatni samosa chatni😂😂😂😂,0,2024-06-22T02:32:41Z,True
@Ijazbadshaijazbadsha,Ya hamary ghair k pas ha or in k golpapy ala hoty ha,0,2024-05-31T16:21:18Z,True
@muhammadathar7088,"Not good. Not hygienic, Poor service. Better gol gappas are available in every corner of city",0,2024-01-19T13:36:38Z,True
@angelnaveed6925,Wast of money bhtt hee Bakwaas thy,0,2023-01-30T17:35:29Z,True
@zulqarnainhaider1720,ap sab shah g goll gappy lakshmi chowk near butt sweet ka goll gappy. kha kar dakha visit to my shop,0,2022-06-08T05:41:10Z,True
@dinossayrawr2486,These are fake reviews. Please dont go there as the taste is below average . I went there yesterday by watching this video and was hugely disappointed .,0,2022-03-18T13:21:19Z,True
@naveedmalik474,Islam poora jao lahori gol gappo per ap ko b taste ka pata chaley,0,2022-02-19T01:47:19Z,True
@naveedmalik474,Jin ko khaney ka pata nahi ha bs lakeer k fakeer hain log ku k jahan rush hota ha wahan log bhaagey phirtey hain,0,2022-02-19T01:46:56Z,True
@mansehra1000,Safai ka zara khial ni krty Lahoriye,0,2022-01-24T10:50:30Z,True
@abdulhaseeb3034,farag tareen bht hi meethy hoty han,0,2021-10-30T19:58:53Z,True
@Noorfatima-bl5bp,Shalamar chonk ma b molvi gol gapy wala bhttttt e testy h hoty 😘,1,2021-09-07T01:22:04Z,True
@Exploreasyou,The best thing he's wearing food service gloves,2,2021-09-06T21:39:42Z,True
@Buttofficial420,Gatiya tareen tast hai aur kachy chany hote gold gapy mein dalny k liye,0,2021-09-06T15:19:36Z,True
@mubeenashraf8442,Voice quality error,0,2021-09-04T17:20:52Z,True
@abdulhaadi6083,Lahore may hi butt siri paye b hay Rehman Street main amazing,1,2021-09-04T10:04:49Z,True
@awaismalik8586,Gol gappy ka taste nhi but pani bht tasty,1,2021-09-04T10:03:57Z,True
@Razaalifans,Really bohat tasty hain. Lekin in k main shop jo he wo gari shahu me hain,2,2021-09-03T21:52:23Z,True
@Aspecct08,Kindly pardha kia kare Allah ka wasta hai 🙏🙏,4,2021-09-03T16:34:24Z,True
@muhmmadrazwan7779,Best gol gappa Dharam pora thanay k sath lhr k sab jaga k gol gappy bhool jao gay,3,2021-09-03T15:19:14Z,True
@mahakhan2041,Lahore ma kaha hai,1,2021-09-03T14:16:43Z,True
@urdu_cover199,Urdu point  app ke videos bhoat achi hoti hain,2,2021-09-03T13:59:46Z,True
@samratahir9367,"V good taste

Our family always like it",1,2021-09-02T18:54:31Z,True
@abirakhanabirakhan830,Bht mzy k hoty hy in k gol gappy hm ny bht bar khaye hy,3,2021-09-02T09:06:40Z,True
@sajeelraza9246,Best gol gappy ever taste lazmi krain near MacLeod road,2,2021-09-02T04:38:19Z,True
@shumylakhaqan510,Lahore mein chatni thandi kyun serve kertay hein 🤔,1,2021-09-02T04:10:31Z,True
@sahimanjum5368,Lahore me sub se tasty gol guppye,0,2021-09-02T03:37:37Z,True
@ummehussain9385,Bhai sahab hmaray iqbal town nilam blok k gol gappay khain sb bhool jaingay.....,0,2021-09-01T22:51:57Z,True
@saniawaqar8473,Pory Lhr me sb se achy ha gol gappy. Hm aksar khaty ha bhtttt yummy ha😋,0,2021-09-01T22:05:18Z,True
@mkfashions2328,Kbi sialkot ao golgapy khilayn... golgapy hoty kesy hud pta chl jay ga,0,2021-09-01T21:46:42Z,True
@sugaryxsweetkitchen,Very tasty 👍🏻,1,2021-09-01T21:13:57Z,True
@letshitthebooks2668,Bhai ichhra usman bazar main molvi immran k gol gappay khao gay aapp sab ko bhol jaao gay is k sath hi Lado pithiyaan walay wo to zaika main poray pakistan main nahin chakha ho gaa,0,2021-09-01T19:33:39Z,True
@farooqfarooq6996,Location back of shobra hotel,0,2021-09-01T18:47:57Z,True
@TheMohammadDanish,"Nice to see Golgappa being sold in Pakistan. 
In India, the taste of golgappa changes in every state and they're also named differently.",14,2021-09-01T18:30:52Z,True
@AMGTECH_111,"All Pakistan m is s Acha aur tasty gool gapaa nahi mil sakta, chellange ha.",0,2021-09-01T18:30:25Z,True
@sheikhumar8761,"12 flavours in Golgapy 
8 flavors in water",0,2021-09-01T18:04:46Z,True
@sheikhumar8761,Dhrampura may ak Golgapy wla hy iska interview kry,0,2021-09-01T18:04:00Z,True
@muhammadimranshafi477,Saqib bhai Best Maghaz Karahi main bna hua bta den kahan se milay ga.,0,2025-12-02T06:45:34Z,True
@AlishehzadAlishehzad-m8n2h,Bhai grato jalebi and fish try kry kalma chock m shop hy in ki,0,2025-12-01T19:51:22Z,True
@shoaibarif3442,Assalam walekum Saqib bhai Maine harisha ek dafa Anarkali sikhaya tha Kafi purani baat hai aur vah Anarkali se aaya tha usmein yah kabab se baat nahin gosht ke rishte the bakayda aur bahut laziz tha,0,2025-12-01T15:35:15Z,True
@FaiqAli-b4h4b,Bro Lahore mai aap se mulaqat karni ha😢❤❤❤❤,0,2025-12-01T12:05:16Z,True
@record31159,Vlogs from Pakistan are only about eating food.,0,2025-12-01T12:04:06Z,True
@paintbrush0300,Please explore Best prawns in Lahore,0,2025-11-30T19:29:54Z,True
@WaqarHasan-rc9rt,Bohat khoobsurat sheher aur video aur hotel aur restaurant aur mazaydaar khaanay aur nazaara aur maahaul aur taaza sabziyan aur masaalay!,0,2025-11-30T18:34:50Z,True
@WaqarHasan-rc9rt,So beautyfull city and video and hotel and restaurant and tasty foods and view and environment and fresh vegetables and spices!,1,2025-11-30T18:33:51Z,True
@ehsanrasul2025,Aap nay aik bar Harisa bataya  tha Lahore kay kisi posh residential area may kisi ghar main restaurant tha. Bohat zabardast Harissa tha.,0,2025-11-30T17:25:49Z,True
@extraordinaryUtubeuser,"Achi video hai
5 star hotel se khao ❤",0,2025-11-30T13:47:57Z,True
@SJC792,Bhayya kebab kahe thy bhai,0,2025-11-30T13:23:09Z,True
@Mujaddadi7,"Assalam o alaikum bohot pyaray Zia bhai.
 Aap se milnay ka shauq barhta jaa raha hae. I live in Atlanta, Georgia, USA. Originally from Lahore. I would be very lucky to spend some moments with you. Khush rahein salamat rahein. Aameen. 
Mian Najeeb. ❤️❤️",0,2025-10-23T03:17:46Z,True
@ZohaibArshad-v2o,Driver ko b samosa khila dety,0,2025-10-23T00:03:34Z,True
@vishaldodia7360,Lahore Lahore hai China thodi na ban jaega 😂,0,2025-09-09T16:02:08Z,True
@ramsureshsharma7565,hamare yaha 60 rupaya me chicken roll lajabab kolkata,0,2025-09-08T15:17:03Z,True
@fresofol,Khaane dumdaar lag rahe hain…kabhi mauka mile to lutf uthaya jaye inka lahore mein,0,2025-09-07T13:16:29Z,True
@fresofol,Gaane ab bhi hamare hi yaad aate hain bhai ko…bulao kabhi Lahore humein bhi,0,2025-09-07T13:15:39Z,True
@anonymousme7971,Butt 😂 😂😂,0,2025-08-31T17:42:59Z,True
@badallvlogs7371,"Security Or waiter ma koi difference he nai h, keta pechada hua h pak😅",0,2025-08-31T14:19:17Z,True
@badallvlogs7371,"Le bhecho
70 rupee ka samosa😂😂, india ma 30 ke full plate 2 samose ate h😊",0,2025-08-31T14:17:56Z,True
@kishorgaikwad4603,Aapki video Bhot aachi hoti hai Bahi 🇮🇳 form India,0,2025-08-29T18:58:35Z,True
@amarpandey1127,Barish me to bas yaa to chai pakora ya fir chilled beer hi maja deta hai,0,2025-08-28T11:38:32Z,True
@aamirnawab3093,Butt ka ab sirf naam reh gaya ab ap BUTT nhi IF karrahi khhana,0,2025-08-27T04:40:45Z,True
@abubakarawan2067,VEDIO quality is v low,0,2025-08-26T10:42:49Z,True
@vinay11163,MEANWHILE I AM ON DIET ONLY ON FRUITS AND NON DIARY FOODS TO LOSE WEIGHT AND TO BE FIT AND SMART GUY.,0,2025-08-26T10:33:55Z,True
@Hanifchudary-lt4co,Lahore ma khoty ka gosht ha😂😂😂😂,0,2025-08-24T13:35:12Z,True
@ambiaprichit,according to me zia bhai you are nbr 1 food blogger in Pakistan 🇵🇰👍- praise from 🇮🇳❤️🙏,4,2025-08-23T08:01:58Z,True
@TimePass-yw8dz,All Muslims split in customer food??,1,2025-08-23T07:46:18Z,True
@thakur_travel_delhi,India se Pakistan 50/ saal pichhe hai poori video me Ek bhi BMW/ Mercedes nazar nahi aaya Delhi me har 10 / car me 2/ 3 Mercedes BMW hota hai bro .,0,2025-08-22T17:48:58Z,True
@thakur_travel_delhi,Samosha ke size bahut chote Rs 10/ ka india me milta double size me,0,2025-08-22T17:41:17Z,True
@manobasharsakin8433,Ye baat tho hai Lahore par paise Laga rahai hain or Karachi se kha rahai Hain.,0,2025-08-21T12:57:35Z,True
@CyrusGill-eb4zv,"Lahore k karta dharta, Lahore per paisa lagatay hain ku k inhay Lahore say pyar hy but Karachi k krta dharta ko Karachi say kuch layna dayna nahi.",0,2025-08-21T11:02:47Z,True
@Venk672,Karachi biggest city in Pakistan sir,0,2025-08-21T10:18:32Z,True
@gauravtbsl,pakistan me khana bhi hota hai 🤣🤣🤣,0,2025-08-21T09:38:19Z,True
@tgfxshredder1768,Street food pk chanel kya hua,0,2025-08-20T11:36:59Z,True
@Uttam07630,"Kaisa laga S-400 ka taste 😂😂😂.
  🔥 🇮🇳",0,2025-08-20T09:32:04Z,True
@jayeshmankad2089,"you are example for your viewers, you are having a lot of local viewers, to set them example in this rain, you must wear a seat belt, I am sure you were wearing seatbelts when you visit Caneda or any other country then Pakistan, someone must start watching for safety, why not starts from you. Just think about it.",1,2025-08-20T02:51:06Z,True
@priteshkumar8060,India me roll 40 ka milta hai,0,2025-08-19T06:53:44Z,True
@zak-r7n,Street food pk band hogaya kya 😮😮,0,2025-08-19T03:33:11Z,True
@m.asimkhanm.asimkhan6382,Bohat over price he Karachi k rate bohat achy hen Bhai,0,2025-08-18T15:15:07Z,True
@zarinansari751,Assalamualaikum Lahore ki barish our testy khana mashallah 🇮🇳🇮🇳🇮🇳,3,2025-08-18T14:36:35Z,True
@ashishkhare1009,"Kya sincestific  Line  boli  he . 

Jyada. Barish  hoti he.  To  jyada  Pani  girta. He .  😅😅😅",0,2025-08-18T11:23:48Z,True
@IffatAlmasAlmas,Welcome to lahore,0,2025-08-18T10:25:40Z,True
@mahiali6206,Khi lahore Islamabad k elwa b food try kren jse k visit kren.. larkana food street u would love it,0,2025-08-18T10:18:52Z,True
@ArbaazMomin,Random vlog tha but super tha maja aaya lahore dekh kar mashaallah bada hi saaf sutra clean hai lahore i love lahore ❤❤,0,2025-08-18T08:41:36Z,True
@KingKhan782,"Lahore me laxmi chowk?
Nam change kro 😅",0,2025-08-18T07:02:14Z,True
@SyedHamadai,I kind of born in this city !!! Was my second home because of my father job … and went to college also here also  … what you said about Lahore…??? In mid 8es I was in college and bad boy by those days standards! but if I had a money or not Lahore wouldn’t let you go you hungry…,0,2025-08-18T06:51:31Z,True
@salmankhan1999-e4k,#Azanbutt I love you ❤😅,0,2025-08-17T21:30:25Z,True
@salmankhan1999-e4k,Samosa Chaat Apne dollmen center k niche ha Zia bhi location smj gye😅,0,2025-08-17T21:28:22Z,True
@FatimaKhan-uv5kg,Zia bhai Mujh 2 mont ka rend Dana h kia ap meri help kr sakte Allah ki Raza k liya udhar ki surat mehi sahi,0,2025-08-17T19:51:00Z,True
@MOHAMMADFIROZKHAN-on3mg,Bhai bohot mehenga hai,0,2025-08-17T19:08:25Z,True
